id,name,rating,review_count,address,latitude,longitude,price,categories,is_closed
2Nr1EGkgcVKXq1rfAliI3g,Taste and Glory,4.3,357,"1208 South El Camino Real, San Mateo, CA 94402",37.555699,-122.318241,$$,"Breakfast & Brunch, Asian Fusion, American",False
2aM_i1lk6r69vEfmv6SqnA,SAJJ Mediterranean,4.2,226,"251 East 3rd Ave, San Mateo, CA 94401",37.5654723,-122.3226643,$$,"Mediterranean, Middle Eastern, Halal",False
RSAD7Qx6vrx8TL_Xq6tsoA,Santa Ramen,3.6,2556,"1944 S El Camino Real, San Mateo, CA 94403",37.5490952,-122.3109366,$$,"Ramen, Noodles",False
6Ybsq0oIPb1vz5czq0_y7w,Fire Wings,3.9,656,"206 S B St, San Mateo, CA 94401",37.56605,-122.32324,$$,Chicken Wings,False
WEXil_zzH96bBHYPGgz2sA,Curry Hyuga,4.6,919,"1204 Broadway, Burlingame, CA 94010",37.586214,-122.364971,$$,"Japanese Curry, Comfort Food",False
SKmTGJUsq44O7uqKgnX_lQ,Park & Howard Bistro,4.3,347,"1300 Howard Ave, Burlingame, CA 94010",37.57729,-122.34607,$$$,"New American, Wine Bars, Desserts",False
vcZEmagJcaJiwoRweBNJhA,Paul Martin's American Grill,3.4,1430,"101 Hillsdale Shopping Ctr, San Mateo, CA 94403",37.5383607,-122.3008326,$$$,"New American, Seafood, Steakhouses",False
iYeNOc9Q7wIeaLuIIfLPnA,Mortar & Pestle Bar,4.1,384,"130 S B St, San Mateo, CA 94401",37.5666587,-122.3239193,$$,"Cocktail Bars, Indian",False
a7i3f-Nrzh9CuwRGd3BYRQ,Urban Momo,4.1,370,"254 S B St, San Mateo, CA 94401",37.56564,-122.32278,$$,"Himalayan/Nepalese, Indian, Chinese",False
GCe1TFmQlN006S2ISNMWTA,The Field Club,4.3,188,"742 Polhemus Rd, San Mateo, CA 94402",37.5205549,-122.338921,$$,"Sports Bars, New American, Cocktail Bars",False
lhqTmYh5h7tnUXugzT6W6g,Mediterranean Kitchen,4.5,503,"270 Lorton Ave, Burlingame, CA 94010",37.57913,-122.34565,$$,"Mediterranean, Greek, Salad",False
Vdld6Bu1Eetyq66S5a6YZA,M Sandwiches,4.3,510,"205 E 4th Ave, San Mateo, CA 94401",37.56445414489384,-122.3222723,$$,"Vietnamese, Sandwiches",False
cBeoKWCZxiefcILsW-Lxgw,Tannourine,3.9,514,"120 W 25th Ave, San Mateo, CA 94403",37.5439099,-122.30755,$$,"Mediterranean, Lebanese, Bars",False
C83rXWd83BEAWpnMtvj1nw,Lobster Chef,4.3,101,"2948 S Norfolk St, San Mateo, CA 94403",37.5450627313526,-122.285058908164,N/A,"Cajun/Creole, Seafood, Coffee & Tea",False
MGAziN9xIqs3FyDZ4vzC-w,Stella,4.1,1157,"1448 Burlingame Ave, Burlingame, CA 94010",37.57733,-122.349248,$$$,"Italian, Venues & Event Spaces, Cocktail Bars",False
ogDDX2N0wjIJn8Lzovtv7Q,Chuan Chim Thai Cuisine,4.4,281,"1099 Foster Square Ln, Unit  125, Foster City, CA 94404",37.55936546810855,-122.26791789386353,$$,"Thai, Noodles",False
FCIuRDCuM4wsakEShyb_Wg,Heidi's Pies Restaurant,3.5,1411,"1941 S El Camino Real, San Mateo, CA 94403",37.5489931428877,-122.310258921168,$$,American,False
g_KDHtdBkIGHKVdTW32C9A,Zhangliang Malatang,4.4,202,"139 S B St, San Mateo, CA 94401",37.5667431,-122.3233958,$$,"Chinese, Comfort Food",False
Hp7qRwMyuljiGxrk-Hty1w,Shugetsu,4.0,330,"2944 S Norfolk St, San Mateo, CA 94403",37.54499,-122.285263,$$,Ramen,False
IBhMCXMb8MtoQwFWZV6L_Q,Taqueria Los Primos,4.2,172,"85 N B St, San Mateo, CA 94401",37.5691665261078,-122.326355612012,$$,"Mexican, Seafood, Breakfast & Brunch",False
pGzTLt_0UqJgk8mvsiF0Ag,Kabul Afghan Cuisine,4.4,1776,"135 El Camino Real, San Carlos, CA 94070",37.512194,-122.266481,$$,Afghan,False
-SZEcnx6dXC0h7TvM7w2UA,Nick The Greek - San Mateo,4.3,227,"1324 W Hillsdale Blvd, San Mateo, CA 94403",37.5336317,-122.3272907,$$,"Greek, Falafel, Salad",False
tWFBnQ-2KW8N5fwMsvcOww,Fuji Sukiyaki,3.9,723,"428 E 3rd Ave, San Mateo, CA 94401",37.5664860854754,-122.320912656849,$$,"Japanese, Sushi Bars",False
daAmBAm-2xSWsROG1yL4wQ,Curry & Kabab,4.4,180,"1923 South El Camino Real, San Mateo, CA 94403",37.54937,-122.31057,N/A,"Indian, Pizza, Vegetarian",False
g_1Ie2NoR6AJ_p5Ymv8EeA,Rasoi,4.2,724,"1425 Burlingame Ave, Burlingame, CA 94010",37.57719402869074,-122.34858169999949,$$,"Indian, Pakistani, Lounges",False
JIW_e6Emu81xizEHFR_DUQ,Pinstripes,3.7,732,"36 Hillsdale Mall, San Mateo, CA 94403",37.539109,-122.301466,$$,"Bowling, New American, Venues & Event Spaces",False
s-0sgWclBhc7Yrk5j2gVMg,California Fish Grill,3.9,167,"2214 Bridgepointe Pkwy, San Mateo, CA 94404",37.560506,-122.283107,$$,"Seafood, Fish & Chips, Tacos",False
xyep0zfjLgmNvaxxOvOfag,Golden Boy Pizza,4.4,332,"1119 N Amphlett Blvd, San Mateo, CA 94401",37.58626,-122.3334,$$,Pizza,False
S-malHYtYh50FCMxZWZ6Dg,Hot Wok Bistro,4.2,708,"1012 Howard Ave, San Mateo, CA 94401",37.585693359375,-122.333129882812,$,Chinese,False
SQsXvmGqGkma8UXJk5CRvg,Noodles & Things - San Mateo,3.8,346,"79 E 3rd Ave, San Mateo, CA 94401",37.564233,-122.3247243,$$,"Noodles, Soup",False
tFVJ2p6sg3WW5sA8cFKf3g,San Mateo Prime,3.7,654,"174 3rd Ave, San Mateo, CA 94401",37.56457,-122.32321,$$$,"Steakhouses, Bars",False
uTMgp6vcs9reUBULIC2ALg,Curry Up Now,3.7,1742,"129 S B St, San Mateo, CA 94401",37.5668893,-122.3235286,$$,"Indian, Vegetarian, Gluten-Free",False
VoK8zKi1Y1xnKpPomsRcBw,Mumu Hot Pot,4.5,520,"1099 Foster Square Ln, Ste 135, Foster City, CA 94404",37.559202,-122.268071,$$$,"Hot Pot, Vegetarian",False
sWArpBvrbBDszuMZREMsag,Farm & Vine American Bistro,4.0,410,"248 Lorton Ave, Burlingame, CA 94010",37.5786387,-122.345329,$$$,"Bars, New American",False
gx1vSGmPkddt3yiZ2QI1eg,Tabla Indian Restaurant,3.9,469,"450 S Norfolk St, San Mateo, CA 94401",37.5717844,-122.3100559,$$,Indian,False
IqqSYgETq4Hmf3JdFwdarA,Tuna Kahuna,4.6,691,"1117 Burlingame Ave, Burlingame, CA 94010",37.579314,-122.345865,$$,"Poke, Hawaiian, Japanese",False
T1yJBaR5DzcnBeNToFp29Q,Dynasty BBQ,4.6,220,"105 West 25th Ave, San Mateo, CA 94403",37.543552,-122.30709,N/A,"Chinese, Barbeque",False
xsqBjYUZ077bHa5qOR3J3g,Pokeatery,4.0,946,"407 S B St, San Mateo, CA 94401",37.5646703,-122.3211737,$$,"Seafood, Hawaiian, Poke",False
7OmGgHHEatX4ElBrvxOsyg,Hotaru Japanese Restaurant,3.7,1263,"33 E 3rd Ave, San Mateo, CA 94401",37.56366,-122.32556,$$,"Japanese, Sushi Bars",False
U8uVJMPVh6orDLjiAwyXXA,Pranzi,4.3,625,"777 Laurel St, San Carlos, CA 94070",37.50430581590131,-122.25836082522848,$$,"Italian, Seafood, Steakhouses",False
tqPvt5uGxkj4G2o0x6-9Pw,Nijiya Market - San Mateo,4.0,362,"1956 S El Camino Real, San Mateo, CA 94403",37.5483714060139,-122.311103404565,$$,"International Grocery, Seafood Markets, Japanese",False
m0QYB7Nne7KbXSbqI9hdLA,Tang Bar,4.1,99,"62 East 4th Ave, San Mateo, CA 94401",37.5628865,-122.3237791,$$,"Hot Pot, Noodles, Szechuan",False
GOdHGv19Ce032QBEyk70Gg,Joy Sushi,3.7,1422,"30 S B St, San Mateo, CA 94401",37.5672364526209,-122.324446476996,$$,"Sushi Bars, Japanese",False
0hG7KXS6jukP3u4H6xmPHg,Hanabi Ramen & Japanese Curry,4.2,944,"723 California Dr, Burlingame, CA 94010",37.58243,-122.35195,$$,"Ramen, Japanese Curry",False
XTAnkvFKqoXtV1n6bL_u4Q,Yuzu Sushi & Grill,3.9,538,"54 37th Ave, San Mateo, CA 94403",37.53421,-122.29555,$$,"Japanese, Sushi Bars",False
yhx6TeoQrJyveV76QVb3GQ,Uncle Tetsu,4.0,636,"72 Hillsdale Shopping Center, San Mateo, CA 94403",37.53864390664317,-122.3012166746081,$$,"Desserts, Japanese",False
43dXf3so671bwFKDNR68rw,Mokutanya,3.9,2381,"1155 California Dr, Ste G, Burlingame, CA 94010",37.587042,-122.362963,$$,"Ramen, Izakaya",False
CVMK_rAUl0fo2JZp7lqa3g,Vesta,4.5,2448,"2022 Broadway, Redwood City, CA 94063",37.4868278503418,-122.226776123047,$$,"Pizza, Tapas/Small Plates, Wine Bars",False
PUC0Y6gMJT7jtAJIaL435g,Urban Kitchen,4.5,176,"1152 Burlingame Ave, Burlingame, CA 94010",37.5795025966672,-122.3461337,$$,American,False
a8oiuCHY8jV5HleueXaglQ,Ike's Place,4.0,454,"680 E 3rd Ave, San Mateo, CA 94401",37.5674163928038,-122.31955400788,$$,"Sandwiches, Gluten-Free, Vegan",False
pCm5S4dTjEy_Hh8lPRS2hg,Rainbow Pizza,4.1,904,"112 De Anza Blvd, Crystal Springs Shopping Ctr, San Mateo, CA 94402",37.521244,-122.337359,$$,"Greek, Pizza, Italian",False
wo7f8OfCuVpNSBHCO1FzLw,Onigilly San Mateo,4.0,93,"670 E 3rd Ave, San Mateo, CA 94401",37.5673422,-122.3193111,$$,"Japanese, Fast Food",False
5flkgk1Bmhb5Iuhr7uMh5g,Pancho Villa Taqueria,3.5,2206,"365 S B St, San Mateo, CA 94401",37.565066,-122.321627,$$,Mexican,False
YBuogPzA3zFBjYsZSXb0YA,Seniore's Pizza,3.8,356,"2210 S El Camino Real, San Mateo, CA 94403",37.5461029498835,-122.307735602953,$$,"Pizza, Salad, Chicken Wings",False
pL2dlu14LBTTr6YRFaXhJg,Kiroro Sushi,4.3,535,"1200 El Camino Real, Ste A-2, Belmont, CA 94002",37.518881,-122.274469,$$,"Japanese, Sushi Bars",False
vHFHkX63tAIkYedLxjV8bA,Little Shanghai Restaurant,3.6,702,"17 E 25th Ave, San Mateo, CA 94403",37.54505,-122.30543,$$,Shanghainese,False
7yoZefG5iev3IzK5415rzw,Johnny’s First Toast,4.2,164,"1214 S El Camino Real, San Mateo, CA 94402",37.55560719022317,-122.3180814,$$,"Breakfast & Brunch, Coffee & Tea",False
